City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,badger,64.8,-147.5333,-16.73,70,75,0.0,US,1706643306
245,laguna,38.421,-121.4238,71.31,73,0,5.75,US,1706643307
246,vorgashor,67.5833,63.95,8.13,95,100,11.03,RU,1706643307
247,carutapera,-1.195,-46.02,84.49,70,86,6.98,BR,1706643308
248,naini tal,29.3974,79.4469,32.59,57,0,4.47,IN,1706643308
249,mae hong son,19.3003,97.9685,61.36,92,7,1.14,TH,1706643309
250,sambava,-14.2667,50.1667,78.33,87,99,12.1,MG,1706643310
251,aykhal,66.0,111.5,-13.49,100,99,3.53,RU,1706643310
252,morbi,22.8167,70.8333,69.94,70,72,9.82,IN,1706643311
253,miles city,46.4083,-105.8406,45.57,65,0,6.91,US,1706643312
254,penzance,50.1186,-5.5371,39.88,62,99,4.27,GB,1706643229
255,eregli,37.5133,34.0467,31.98,70,71,3.27,TR,1706643313
256,bodo,67.28,14.405,42.84,65,75,34.52,NO,1706643314
257,berdigestyakh,62.0989,126.6992,-17.12,98,100,5.21,RU,1706643314
258,sbiba,35.5433,9.0737,48.7,68,10,4.63,TN,1706643315
259,bingerville,5.3584,-3.8869,83.34,79,10,10.36,CI,1706643315
260,val-d'or,48.1002,-77.7828,26.69,86,100,14.97,CA,1706643203
261,saldanha,-33.0117,17.9442,65.12,88,30,12.93,ZA,1706643316
262,fort-shevchenko,44.5086,50.263,31.75,63,100,17.2,KZ,1706643317
263,letlhakeng,-24.0944,25.0298,77.7,49,100,4.16,BW,1706643317
264,pinotepa nacional,16.3167,-98.0167,89.04,37,71,9.82,MX,1706643120
265,codrington,-38.2667,141.9667,56.25,81,2,7.36,AU,1706643319
266,taltal,-25.4,-70.4833,73.8,69,23,8.61,CL,1706643319
267,prades,42.5833,2.1667,43.07,48,94,2.04,FR,1706643320
268,qarauyl,48.9451,79.255,11.23,82,100,8.55,KZ,1706643320
269,nishon tumani,38.694,65.6751,35.85,93,40,4.61,UZ,1706643321
270,kenai,60.5544,-151.2583,-1.86,85,20,4.61,US,1706643322
271,gudari,19.35,83.7833,64.56,80,31,0.34,IN,1706643322
272,okondja,-0.6549,13.6753,79.88,63,100,2.28,GA,1706643323
273,yenisehir,40.2644,29.6531,33.85,93,40,2.3,TR,1706643323
274,knyaze-volkonskoye,48.4642,135.4567,-12.66,97,97,4.16,RU,1706643324
275,ad dabbah,18.05,30.95,62.85,25,42,11.65,SD,1706643325
276,saurimo,-9.6608,20.3916,66.76,96,100,3.85,AO,1706643325
277,basco,20.4487,121.9702,75.15,73,28,21.36,PH,1706643326
278,yuzhno-kurilsk,44.0306,145.8556,28.38,71,49,11.25,RU,1706643326
279,saint-francois,46.4154,3.9054,46.65,88,0,2.3,FR,1706643327
280,revda,56.801,59.9303,18.37,94,100,8.39,RU,1706643327
281,merizo village,13.2658,144.6691,78.53,76,45,23.67,GU,1706643328
282,mana,5.6592,-53.7767,82.85,71,28,10.38,GF,1706643328
283,thompson,55.7435,-97.8558,37.56,81,75,3.44,CA,1706643329
284,alofi,-19.0595,-169.9187,82.11,87,98,15.01,NU,1706643329
285,kharkhorin,47.1975,102.8238,-14.96,96,15,3.62,MN,1706643330
286,argo,37.6333,22.7333,38.52,94,95,5.95,GR,1706643330
287,hawaiian paradise park,19.5933,-154.9731,82.9,69,0,1.01,US,1706643331
288,katsuren-haebaru,26.3369,127.8719,70.18,75,100,5.75,JP,1706643331
289,marquelia,16.5833,-98.8167,83.32,65,100,8.46,MX,1706643332
290,manay,7.215,126.5397,76.6,96,100,6.98,PH,1706643332
291,sechura,-5.5569,-80.8222,83.61,64,89,16.26,PE,1706643333
292,hami,42.8,93.45,23.32,54,100,1.45,CN,1706643334
293,grand-lahou,5.1367,-5.0242,81.14,83,2,10.63,CI,1706643334
294,marapanim,-0.7175,-47.6997,82.29,74,98,6.93,BR,1706643335
295,gadzhiyevo,69.2551,33.3362,37.74,75,87,31.25,RU,1706643335
296,arni,12.6667,79.2833,69.89,88,15,3.65,IN,1706643336
297,bakhmach,51.1808,32.7569,26.89,87,100,6.11,UA,1706643336
298,cuyamel,15.6667,-88.2,77.02,71,100,0.47,HN,1706643337
299,oamaru,-45.0784,170.9801,58.37,89,13,15.12,NZ,1706643337
300,kongolo,-5.3833,27.0,69.71,95,100,0.94,CD,1706643338
301,selfoss,63.9331,-20.9971,26.04,73,100,24.05,IS,1706643338
302,chilliwack,49.1747,-121.9443,56.79,87,100,3.44,CA,1706643339
303,al qitena,14.8648,32.3668,69.51,15,1,13.24,SD,1706643339
304,ust-nera,64.5667,143.2,-32.66,100,100,3.29,RU,1706643340
305,harper,4.375,-7.7169,81.59,79,58,8.12,LR,1706643340
306,akrehamn,59.2667,5.1833,37.99,93,75,4.61,NO,1706643341
307,mil'kovo,55.6078,37.7956,32.59,94,100,3.38,RU,1706643341
308,conde,-7.2597,-34.9075,87.26,62,40,12.66,BR,1706643342
309,nieuw amsterdam,5.8833,-55.0833,87.96,70,40,9.22,SR,1706643342
310,cabo san lucas,22.8909,-109.9124,86.31,52,75,13.8,MX,1706643343
311,cooper's town,26.8667,-77.5167,67.44,54,96,5.66,BS,1706643343
312,palm beach,26.6503,-80.4498,74.01,54,23,5.46,US,1706643137
313,geraldton,-28.7667,114.6,72.01,73,0,10.36,AU,1706643344
314,colonia,50.9333,6.95,50.58,75,100,11.5,DE,1706643247
315,bugul'ma,54.55,52.8,22.93,97,94,17.72,RU,1706643345
316,filingue,14.3521,3.3168,76.15,14,58,10.22,NE,1706643346
317,mpika,-11.8343,31.4529,62.29,92,29,2.21,ZM,1706643346
318,belyy yar,53.6039,91.3903,-16.71,91,99,2.24,RU,1706643347
319,lensk,60.7253,114.9278,-27.8,99,34,4.38,RU,1706643288
320,cam ranh,11.9214,109.1591,75.16,78,20,4.61,VN,1706643348
321,kailua-kona,19.6406,-155.9956,76.5,92,100,13.8,US,1706643319
322,castelli,-25.9468,-60.6195,105.26,17,0,5.23,AR,1706643348
323,sanluri,39.5611,8.8994,51.96,90,34,2.59,IT,1706643349
324,mwinilunga,-11.7358,24.4293,65.71,84,53,2.75,ZM,1706643349
325,schuyler,42.4167,-76.883,36.79,90,100,3.0,US,1706643350
326,nevada,39.2502,-116.7512,49.84,39,0,3.85,US,1706643350
327,sitka,57.0531,-135.33,37.29,81,100,9.22,US,1706643202
328,yendi,9.4427,-0.0099,89.31,14,100,5.12,GH,1706643351
329,enriquillo,17.9,-71.2333,87.48,71,36,6.46,DO,1706643351
330,goundi,9.3627,17.366,81.68,14,0,5.19,TD,1706643352
331,teknaf,20.8624,92.3058,60.6,56,47,5.95,BD,1706643352
332,tongchuanshi,35.0806,109.0897,33.84,75,74,2.84,CN,1706643353
333,alpena,45.0617,-83.4327,37.11,97,100,3.44,US,1706643353
334,port isabel,26.0734,-97.2086,73.08,65,0,8.99,US,1706643300
335,bata,1.8639,9.7658,81.5,83,22,6.82,GQ,1706643354
336,hammerfest,70.6634,23.6821,43.25,65,40,35.68,NO,1706643355
337,claveria,18.6074,121.0832,69.87,86,4,12.55,PH,1706643355
338,thunder bay,48.4001,-89.3168,35.58,75,100,9.22,CA,1706643056
339,nabire,-3.3667,135.4833,76.64,92,86,2.46,ID,1706643356
340,basoko,1.2391,23.616,82.44,45,99,2.55,CD,1706643357
341,bikenibeu village,1.3673,173.1241,82.36,78,75,8.05,KI,1706643358
342,kuta,-8.7233,115.1723,80.55,83,40,1.14,ID,1706643358
343,sarangani,5.4033,125.4636,81.12,77,100,7.2,PH,1706643359
344,pangody,65.85,74.4859,-4.4,95,39,15.73,RU,1706643359
345,luanco,43.6152,-5.7934,58.46,89,97,6.08,ES,1706643360
346,atamyrat,37.8357,65.2106,41.0,61,46,7.61,TM,1706643360
347,portland,45.5234,-122.6762,57.96,79,100,8.05,US,1706642990
348,christchurch,-43.5333,172.6333,63.32,82,57,5.75,NZ,1706643361
349,guelmim,28.987,-10.0574,75.54,9,100,13.8,MA,1706643362
350,mount gambier,-37.8333,140.7667,52.11,91,9,3.98,AU,1706643362
351,kedrovyy,56.1667,91.8167,-21.14,100,76,3.09,RU,1706643363
352,sokcho,38.2083,128.5911,30.81,74,93,5.75,KR,1706643363
353,ghormach,35.7306,63.7826,37.63,84,93,9.82,AF,1706643364
354,palasa,18.7667,84.4167,67.15,80,6,3.56,IN,1706643364
355,naze,28.3667,129.4833,65.32,80,99,19.44,JP,1706643365
356,hovd,48.0056,91.6419,-7.94,95,88,0.49,MN,1706643365
357,leticia,-4.2153,-69.9406,80.65,100,40,3.44,CO,1706643366
358,zeya,53.75,127.2667,-22.52,99,58,1.88,RU,1706643366
359,horta,38.5333,-28.6333,62.24,83,20,12.66,PT,1706643367
360,trairi,-3.2778,-39.2689,84.6,69,4,12.57,BR,1706643165
361,lazaro cardenas,17.9583,-102.2,84.11,59,100,8.88,MX,1706643368
362,kaiapoi,-43.3783,172.6401,66.07,80,35,5.75,NZ,1706643368
363,baruun-urt,46.6806,113.2792,-28.91,98,19,4.9,MN,1706643369
364,mersing,2.4312,103.8405,78.71,83,20,8.05,MY,1706643369
365,polyarnyy,69.1989,33.4478,38.01,76,89,29.39,RU,1706643370
